W,arquivo,memoria_kb,memoria_pico_kb,n_fila,n_itens,n_nos,status,tempo_seg,valor_algoritmo,valor_otimo
2543,knapPI_1_500_1000_1.csv,2.07,21.3,,500,,OK,0.002924,28834,28857
49877,knapPI_2_10000_1000_1.csv,2.53,466.68,,10000,,OK,0.067596,90172,90204
5002,knapPI_2_1000_1000_1.csv,2.22,44.76,,1000,,OK,0.005744,9046,9052
995,knapPI_2_100_1000_1.csv,0.2,1.07,,100,,OK,0.000394,1276,1514
10011,knapPI_2_2000_1000_1.csv,2.39,91.55,,2000,,OK,0.012457,17834,18051
1008,knapPI_2_200_1000_1.csv,1.42,5.76,,200,,OK,0.001046,1463,1634
25016,knapPI_2_5000_1000_1.csv,2.47,231.96,,5000,,OK,0.032789,44238,44356
2543,knapPI_2_500_1000_1.csv,2.05,21.35,,500,,OK,0.002946,4551,4566
49519,knapPI_3_10000_1000_1.csv,2.38,466.59,,10000,,OK,0.077045,146888,146919
4990,knapPI_3_1000_1000_1.csv,2.2,44.74,,1000,,OK,0.00688,14374,14390
997,knapPI_3_100_1000_1.csv,0.14,1.07,,100,,OK,0.000486,2375,2397
9819,knapPI_3_2000_1000_1.csv,2.3,91.57,,2000,,OK,0.014534,28827,28919
997,knapPI_3_200_1000_1.csv,1.22,5.76,,200,,OK,0.001326,2649,2697
24805,knapPI_3_5000_1000_1.csv,2.34,231.91,,5000,,OK,0.04437,72446,72505
2517,knapPI_3_500_1000_1.csv,2.02,21.35,,500,,OK,0.003164,7098,7117
879,f10_l-d_kp_20_879.csv,0.73,0.96,,20,,OK,0.000688,1019,1025
269,f1_l-d_kp_10_269.csv,0.33,0.5,,10,,OK,0.000149,290,295
878,f2_l-d_kp_20_878.csv,0.41,0.64,,20,,OK,0.000575,1018,1024
20,f3_l-d_kp_4_20.csv,0.28,0.5,,4,,OK,0.000142,35,35
11,f4_l-d_kp_4_11.csv,0.27,0.5,,4,,OK,0.000158,16,23
60,f6_l-d_kp_10_60.csv,0.27,0.5,,10,,OK,0.000169,52,52
50,f7_l-d_kp_7_50.csv,0.26,0.5,,7,,OK,0.000112,90,107
10000,f8_l-d_kp_23_10000.csv,0.34,0.6,,23,,OK,0.000544,9266,9767
80,f9_l-d_kp_5_80.csv,0.23,0.5,,5,,OK,0.000216,130,130
